Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776191047,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776191048,500,,Aggregated,0.000000,0.000000,400,530,610,660,740,850,900,900,910,910,910,246,246,390,399.9568807601877,99.07419699993625,909.3159080002806,1835.3130081300812
1776191049,1000,,Aggregated,0.000000,0.000000,220,240,300,410,740,1100,1300,1300,1900,1900,1900,957,957,220,335.12569545558796,99.07419699993625,1909.757138000714,886.4305120167189
1776191050,1500,,Aggregated,86.000000,86.000000,230,280,310,360,720,1100,1400,2100,2500,2500,2500,1818,1818,230,353.6079850621563,99.07419699993625,2526.836213999559,698.2623762376238
1776191051,2000,,Aggregated,354.000000,354.000000,270,320,350,380,610,1000,1900,2500,3600,3600,3600,2589,2589,270,376.7327755662434,99.07419699993625,3582.862641000247,580.2985708767864
1776191052,2500,,Aggregated,507.000000,507.000000,310,350,400,450,650,1100,1600,2500,4700,4800,4800,3342,3342,310,413.55523610173003,99.07419699993625,4803.1234110003425,486.00059844404547
1776191053,3000,,Aggregated,566.250000,566.250000,320,370,440,470,530,1100,1500,2400,4800,5800,5800,4180,4180,320,414.66671078324157,99.07419699993625,5753.724197998963,420.99282296650716
1776191054,3500,,Aggregated,611.400000,611.400000,350,440,480,490,560,1100,1700,2300,4800,5800,5800,5115,5115,350,444.5699628459241,99.07419699993625,5753.724197998963,373.6070381231672
1776191055,4000,,Aggregated,625.333333,625.333333,360,450,480,500,590,1100,2000,2600,4800,5800,5800,5916,5916,360,461.4259895875449,99.07419699993625,5753.724197998963,344.91920216362405
1776191056,4500,,Aggregated,660.000000,660.000000,390,480,510,530,660,1100,2000,2700,4800,5800,5800,6730,6730,390,479.39021745986776,99.07419699993625,5753.724197998963,322.7704309063893
1776191058,5000,,Aggregated,685.888889,685.888889,440,510,540,580,760,1100,2500,3400,4700,5800,5800,7673,7673,440,523.6745093938404,99.07419699993625,5753.724197998963,302.9761501368435
1776191059,5000,,Aggregated,690.100000,690.100000,460,510,550,600,760,950,2300,3400,4700,5800,5800,8714,8714,460,531.4454104655634,99.07419699993625,5753.724197998963,296.07964195547396
1776191060,5000,,Aggregated,743.700000,743.700000,480,530,590,660,810,1000,2500,3700,5500,5800,5800,9569,9569,480,567.6803432277048,99.07419699993625,5753.724197998963,293.15581565471837
1776191061,5000,,Aggregated,792.300000,792.300000,480,540,610,660,800,990,2400,3600,5500,5700,5800,10649,10649,480,568.0009979533213,99.07419699993625,5753.724197998963,287.992111935393
1776191062,5000,,Aggregated,771.400000,771.400000,500,580,650,690,800,980,2600,4100,5900,6200,6200,11635,11635,500,597.5451136826742,99.07419699993625,6191.324624000117,284.7632144391921
1776191063,5000,,Aggregated,811.200000,811.200000,510,600,680,730,810,970,2500,4000,5900,6200,6200,12643,12643,510,606.4979375141911,99.07419699993625,6191.324624000117,281.8299454243455
1776191064,5000,,Aggregated,812.700000,812.700000,520,620,690,740,820,1000,3600,5800,7500,17000,17000,13682,13682,520,666.4574210962511,99.07419699993625,17365.81080399992,280.6474930565707
1776191066,5000,,Aggregated,817.400000,817.400000,530,650,740,780,900,1300,4500,5800,7500,17000,18000,14420,14420,530,727.0118507398722,99.07419699993625,17633.309017999636,280.5849514563107
1776191067,5000,,Aggregated,820.900000,820.900000,560,700,780,810,980,1300,4500,5900,19000,19000,19000,15765,15765,560,772.7337703583859,99.07419699993625,19475.527618000342,275.96479543292105
1776191068,5000,,Aggregated,824.700000,824.700000,590,740,810,840,1100,1300,4500,5900,20000,21000,21000,16836,16836,590,812.5371040318917,99.07419699993625,20587.620491000052,273.86237823711093
1776191069,5000,,Aggregated,857.800000,857.800000,620,770,820,860,1000,1300,4500,6100,21000,22000,22000,18291,18291,620,841.6914140744043,99.07419699993625,22218.355506998705,269.70187523918867
1776191070,5000,,Aggregated,897.500000,897.400000,650,780,830,890,1100,1300,4500,6200,23000,23000,23000,19601,19601,650,875.8532549126004,99.07419699993625,23323.09316700048,268.0303045762971
1776191072,5000,,Aggregated,903.400000,903.400000,670,790,850,930,1100,1300,4500,6300,23000,24000,24000,20754,20754,670,901.9380309810123,99.07419699993625,24486.576491999585,267.3592078635444
1776191073,5000,,Aggregated,956.100000,956.100000,700,800,870,940,1100,1300,4500,6400,25000,26000,26000,22286,22286,700,928.5575180388997,99.07419699993625,25870.555875999344,264.0050704478148
1776191074,5000,,Aggregated,957.000000,957.000000,730,820,900,960,1100,1300,4500,6800,26000,27000,27000,23703,23703,730,968.6041123391941,99.07419699993625,27126.273186999242,263.3911741129815
1776191078,5000,,Aggregated,975.400000,975.400000,740,830,920,980,1100,1300,4500,6800,27000,28000,28000,24722,24722,740,983.3482988895277,99.07419699993625,28135.456731000886,260.96468732303214
1776191080,5000,,Aggregated,767.600000,767.700000,750,830,920,990,1100,1300,4400,6600,27000,29000,29000,26330,26330,750,984.9511561895883,99.07419699993625,29102.9050140005,259.8577668059248
1776191081,5000,,Aggregated,737.700000,737.700000,760,840,940,1000,1100,1300,4400,6900,29000,30000,30000,27592,27592,760,1013.8521927762339,99.07419699993625,30470.345280999027,258.52272397796463
1776191082,5000,,Aggregated,749.100000,749.100000,770,860,970,1000,1100,1300,4400,7000,30000,31000,31000,28877,28877,770,1037.482195957815,99.07419699993625,30967.127134999828,257.978806662742
1776191083,5000,,Aggregated,729.000000,729.000000,780,870,980,1000,1100,1300,4200,7200,31000,32000,32000,30175,30175,780,1055.8995399662258,99.07419699993625,31883.37664699975,256.72212096106045
1776191084,5000,,Aggregated,734.900000,734.900000,790,900,1000,1100,1200,1200,4200,7500,32000,33000,33000,31493,31493,790,1077.6910927370172,99.07419699993625,33485.98764400049,256.1975994665481
1776191086,5000,,Aggregated,758.600000,758.600000,800,920,1000,1100,1200,1200,4200,7600,33000,34000,35000,32826,32826,800,1100.0435284798652,99.07419699993625,34697.01886799885,255.01239870834095
1776191087,5000,,Aggregated,743.900000,743.900000,810,940,1000,1100,1200,1300,4200,19000,34000,36000,36000,34227,34227,810,1128.6021360143786,99.07419699993625,36085.87206999982,254.37005872556753
1776191088,5000,,Aggregated,833.900000,833.900000,820,960,1000,1100,1200,1300,4100,19000,35000,37000,37000,35629,35629,820,1147.8345222862304,99.07419699993625,37233.09416899974,253.77566027674087
1776191090,5000,,Aggregated,971.600000,971.600000,830,970,1100,1100,1200,1300,4000,19000,36000,38000,38000,36703,36703,830,1162.551563323577,99.07419699993625,38141.925451000134,252.8609650437294
1776191091,5000,,Aggregated,1100.200000,1100.200000,840,980,1100,1100,1200,1300,3900,20000,37000,40000,40000,38145,38145,840,1181.004223682454,99.07419699993625,39554.05021600018,252.2659588412636
1776191092,5000,,Aggregated,1074.100000,1074.100000,850,1000,1100,1100,1200,1300,3900,20000,39000,41000,41000,39610,39610,850,1200.742736821664,99.07419699993625,40822.3386589998,251.6622065135067
1776191093,5000,,Aggregated,1067.400000,1067.400000,860,1000,1100,1100,1200,1300,3900,21000,40000,42000,42000,40706,40706,860,1218.097668142148,99.07419699993625,41987.45936699925,251.90922714096203
